additional chief,achief,
munsiff,munsiffss,
munsiff ,munsif ,
small cause court,court of small causes,
sessions,sesions,
and sessions,andsessions,
civil judge junior division,cjunior civil cases,
civil judge junior division,civil judge junior div court,
civil judge junior division,civil judge junior devision,
division,dvision,
munsiff,munnsiff,
additional district and sessions court,additional district and sesssions court,
additional district and sessions,additional district sessions,
additional sessions,additionalsessions,
assistant , asst ,
additional district and sessions judge,additional district and
sessions court,
additional,assistant,
district munsiff first class,district munsiff first class court,
district munsiff first class,district munisfirst class court,
district munsiff first class,principal district munisfirst class court,
labour,labour court,
small cause court,small cause appeal court,
small cause court,court of small cause,
district and sessions court,district and sessions judge,
commercial court,corporation court,
fast track court,fast track sessions court,
cooperative court,cooperative appellate court,
special court to deal with laop cases,special court for the exclusive trial of land grabbing cases,
special court to deal with laop cases,special court for exclusive trial of land grabbing cases,
special court to deal with laop cases,special court no-02 for the exclusive trial of land grabbing cases,
chief metropolitan magistrate,the metropolitan magistrates court,
cbi court,additional special court for cbi cases,
sub court,principal subordinate court,
sub court,subordinate court,
metropolitan,materopolitan,
principal sessions judge,district sessions judge,
railway ner,railway nr,
railway ner,railway court,
metropolitan,materopilitan,
metropolitan,materopilitian,
metropolitan magistrate court,metropolitan majistrate court,
metropolitan magistrate court,metropolitan magistrate municipal court,
chief metropolitan magistrate,cmm court,
chief metropolitan magistrate,cmm ,
civil judge,civil judge establishment,
city civil and sessions court,principal city civil and sessions judge,
sub court,subcourt,
railway ner,railway,
municipal court,municipal magistrates court,
munsiff,munsiff court,
munsiff,munsiff establishment,
additional ,addl ,
civil judge senior division,establishment ofirst classivil judge senior division,
civil judge senior division,ofirst classivil judge senior division,
cbi court,special court for cbi cases,
cbi court,special court spe cbii,
jmfc,judicial firstclass magistrate court,
district court,district judge and additional dst judges,
chief judge court,chief judges court,
jmfc,judical i class magistrate court,
cbi court,special judge court for cbi cases,
special court for atrocities against women,special sessions judge for attrocities against women,
special court for the exclusive trail of ec act cases,ec act,
jmfc,judicial i class magistrate,
nyayalaya,nayayalaya,
cooperative court,cooperative tribunal,
district court,dj division,
criminal cases,criminal proceeding,
district court,dj establishment,
district court,district judge establishment,
chief,cheif,
judicial,judcial,
magistrate,magistrate,
criminal,crimininal,
criminal cases,criminal court,
district court,d j division,
district court,court of district judge,
small cause court,small judges causes court,
criminal cases,criminal proceeding,
jmfc,judicial magistriate of first class,
jmfc,judicial first class majistrate court,
 ist , -1st ,
jmfc,judicial-1st class magistrate,
juvenile,juveniel,
district and sessions court,court of district and sessions,
family,faimly,
cbi court,special judge cbi,
subdivisional judicial magistrate,sub divisional judl magistrate,
subdivisional judicial magistrate,s dj m,
metropolitan magistrate court,metropolitan magsitrate-,
metropolitan magistrate court,metropolitan magistrates court,
chief judge court,chief judge,
criminal cases,crimnal court,
criminal cases,criminal court,
chief judicial magistrate,chiefjudicialmagistrate,
district court,court of the district judge,
district judge,district judge-1,
chief judicial magistrate,cjm,
judicial magistrate court,judicial magistrate,
district and sessions court,sessions judge,
